pattern,replicate,condition,mean_activity,median_activity,n_cells
Pattern5,patient_101,stim,0.2852889714633759,0.26909373700618744,1166
Pattern5,patient_107,ctrl,0.005114499110171225,0.00010050118726212531,517
Pattern5,patient_107,stim,0.28813693080709246,0.2780274748802185,525
Pattern5,patient_1015,ctrl,0.015985791660906037,0.00031271470652427524,2738
Pattern5,patient_1015,stim,0.3063465069609313,0.29510200023651123,2352
Pattern5,patient_1016,ctrl,0.01649254883135551,0.00026384153170511127,1723
Pattern5,patient_1016,stim,0.2899545021968009,0.2730603516101837,1635
Pattern5,patient_1039,ctrl,0.014903795685786652,0.0002548221964389086,461
Pattern5,patient_1039,stim,0.25706183143546163,0.24431024491786957,641
Pattern5,patient_1244,ctrl,0.006143738444594778,0.000113099449663423,1879
Pattern5,patient_1244,stim,0.2889359763107409,0.2799685001373291,1464
Pattern5,patient_1256,ctrl,0.012682546952240943,0.0003011306544067338,2108
Pattern5,patient_1256,stim,0.3025482744143458,0.2968227118253708,2026
Pattern5,patient_1488,ctrl,0.005301186474357915,0.0001231032656505704,2031
Pattern5,patient_1488,stim,0.30928220765366543,0.2919415235519409,2549
Pattern6,patient_101,ctrl,0.07088837766798828,0.004376630997285247,858
Pattern6,patient_101,stim,0.075137451644526,0.006916489917784929,1166
Pattern6,patient_107,ctrl,0.07423716023952018,0.015262396074831486,517
Pattern6,patient_107,stim,0.08041956967400486,0.015115603804588318,525
Pattern6,patient_1015,ctrl,0.0794530447636416,0.026349974796175957,2738
Pattern6,patient_1015,stim,0.08473966173826175,0.03306841105222702,2352
Pattern6,patient_1016,ctrl,0.05929885917523952,0.00650876946747303,1723
Pattern6,patient_1016,stim,0.05595808615606691,0.005772636737674475,1635
Pattern6,patient_1039,ctrl,0.05482429190446662,0.0005002958350814879,461
Pattern6,patient_1039,stim,0.06358748361330877,0.0018062499584630132,641
Pattern6,patient_1244,ctrl,0.050999489267776456,0.00014336415915749967,1879
Pattern6,patient_1244,stim,0.04448527694118069,0.00015797511878190562,1464
Pattern6,patient_1256,ctrl,0.05098509981035614,0.0008351392752956599,2108
Pattern6,patient_1256,stim,0.05329084676140803,0.0016052754945121706,2026
Pattern6,patient_1488,ctrl,0.04367737462572898,0.000143710189149715,2031
Pattern6,patient_1488,stim,0.046178729845972495,0.00035941373789682984,2549
