pattern,gene,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern5,SAT1,10,1.5642191171646118,global,1.3698097478044962,1.3720088370730004,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,IRF7,11,1.5567588806152344,global,2.958522967791686,3.0108253626763135,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,TNFSF10,12,1.3978185653686523,global,5.049335923250152,4.978036180206237,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,OAS1,13,1.3517608642578125,global,3.962387931166637,4.1048805806151085,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,PLSCR1,14,1.1741489171981812,global,2.6716363440440443,2.5790371068541944,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,BST2,15,1.0784711837768555,global,2.028792202874449,2.159097727954868,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern6,CD74,1,13.793898582458496,global,-0.15064786458447577,-0.18098281578884112,8,1,7,0,0.875,0.0234375,down_in_stim,suggestive,0.02556818181818182
Pattern6,HLA-DRA,2,12.018577575683594,global,-0.5561788969326447,-0.554415985765484,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,HLA-DRB1,3,10.16970443725586,global,-0.2975816075682609,-0.3170030977552898,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern6,HLA-DPA1,4,8.471000671386719,global,-0.054538639188386195,-0.004093182877125123,8,4,4,0,0.5,0.640625,down_in_stim,weak_or_mixed,0.6514830508474576
Pattern6,HLA-DPB1,5,8.204859733581543,global,-0.2857987050288755,-0.35430333008008397,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.02556818181818182
Pattern6,FTL,6,5.5781474113464355,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,ACTB,7,4.715860843658447,global,-1.191134450640187,-1.203250670285965,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,FTH1,8,3.585453987121582,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,PFN1,9,3.1363472938537598,global,-1.1529439127604812,-1.1333902804768092,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,HLA-DQB1,10,2.766254186630249,global,-0.8502776342276659,-0.8336193463100381,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,HLA-DQA1,11,2.259584426879883,global,-0.784201227898105,-0.7706337990911329,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,HSP90AB1,12,1.9837803840637207,global,0.3102168108343726,0.2584894844971375,8,8,0,0,1.0,0.0078125,up_in_stim,moderate,0.009191176470588236
Pattern6,HSP90AA1,13,1.9631909132003784,global,0.7347543472141571,0.693543508501727,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern6,ACTG1,14,1.6350189447402954,global,-0.9046484677024709,-0.8980690136503995,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern6,HLA-DMA,15,1.6193488836288452,global,-0.6691362501447202,-0.7019940871638068,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
