pattern,gene,rank,cogaps_weight,contrast_scope,cell_type,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,CD8 T cells,-0.9003465192781898,-0.9133097595800592,5,2,3,0,0.6,0.3125,down_in_stim,weak_or_mixed,0.35377358490566035
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,Dendritic cells,-0.8975657505832689,-0.8750793059381019,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,FCGR3A+ Monocytes,-1.1394338110587174,-1.0722823645198751,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,Megakaryocytes,-0.7933089168003127,-0.7933089168003127,1,0,1,0,1.0,,down_in_stim,strong,
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,NK cells,-1.5146880922009704,-1.4046196885061013,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,S100A11,4,6.153379440307617,by_cell_type,B cells,0.13926747333730027,0.22762729728203546,8,5,3,0,0.625,0.640625,up_in_stim,suggestive,0.6881393861892583
Pattern1,S100A11,4,6.153379440307617,by_cell_type,CD14+ Monocytes,-0.22550135013843398,-0.25187751436382566,8,0,8,0,1.0,0.0078125,down_in_stim,suggestive,0.020007621951219513
Pattern1,S100A11,4,6.153379440307617,by_cell_type,CD4 T cells,-0.34424068493927606,-0.40792421193414974,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,S100A11,4,6.153379440307617,by_cell_type,CD8 T cells,0.09524622596088825,0.07872195648232072,5,3,2,0,0.6,0.8125,up_in_stim,weak_or_mixed,0.8552631578947368
Pattern1,S100A11,4,6.153379440307617,by_cell_type,Dendritic cells,0.22846325865691655,0.27483203558030667,6,5,1,0,0.8333333333333334,0.0625,up_in_stim,suggestive,0.08003048780487805
Pattern1,S100A11,4,6.153379440307617,by_cell_type,FCGR3A+ Monocytes,0.10156802315389306,0.16662731889927862,6,4,2,0,0.6666666666666666,0.4375,up_in_stim,suggestive,0.4861111111111111
Pattern1,S100A11,4,6.153379440307617,by_cell_type,Megakaryocytes,0.0,0.0,1,0,0,1,1.0,,mixed_or_unclear,weak_or_mixed,
Pattern1,S100A11,4,6.153379440307617,by_cell_type,NK cells,-0.02664115918547183,0.021329409831918333,8,5,3,0,0.625,0.9453125,down_in_stim,weak_or_mixed,0.9755067567567568
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,B cells,-1.1812158665059445,-1.1920753523603453,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,CD14+ Monocytes,-1.137269629307412,-1.1168553558819898,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,CD4 T cells,-0.5423936812893617,-0.5381078779960875,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,CD8 T cells,-0.9635245092406649,-0.9857241227020221,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,Dendritic cells,-1.0733722485004478,-1.0910339325695242,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,FCGR3A+ Monocytes,-1.0596240419199499,-1.0117389260211214,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,Megakaryocytes,-0.22270491234475198,-0.22270491234475198,1,0,1,0,1.0,,down_in_stim,suggestive,
Pattern1,SH3BGRL3,5,6.133460998535156,by_cell_type,NK cells,-1.1374592976578628,-1.1581634310141418,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,S100A10,6,6.081233024597168,by_cell_type,B cells,-0.6592710407760112,-0.6704860447587926,8,1,7,0,0.875,0.0546875,down_in_stim,strong,0.08003048780487805
Pattern1,S100A10,6,6.081233024597168,by_cell_type,CD14+ Monocytes,-0.513241502599914,-0.4845042286955472,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,S100A10,6,6.081233024597168,by_cell_type,CD4 T cells,-0.28105804101648646,-0.33492703572024585,8,2,6,0,0.75,0.0390625,down_in_stim,moderate,0.059442934782608696
Pattern1,S100A10,6,6.081233024597168,by_cell_type,CD8 T cells,-0.012705303792102995,0.020573309460800715,5,3,2,0,0.6,1.0,down_in_stim,weak_or_mixed,1.0
Pattern1,S100A10,6,6.081233024597168,by_cell_type,Dendritic cells,-0.288782870814767,-0.3364434143307724,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,moderate,0.08003048780487805
Pattern1,S100A10,6,6.081233024597168,by_cell_type,FCGR3A+ Monocytes,-0.5948963607661396,-0.5981179783571404,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,S100A10,6,6.081233024597168,by_cell_type,Megakaryocytes,0.0,0.0,1,0,0,1,1.0,,mixed_or_unclear,weak_or_mixed,
Pattern1,S100A10,6,6.081233024597168,by_cell_type,NK cells,-0.5189469756118827,-0.5021132489080067,8,1,7,0,0.875,0.0234375,down_in_stim,strong,0.04843173431734318
Pattern1,CD63,7,5.928230285644531,by_cell_type,B cells,-0.4019796633025059,-0.40821371733420087,8,2,6,0,0.75,0.0390625,down_in_stim,moderate,0.059442934782608696
Pattern1,CD63,7,5.928230285644531,by_cell_type,CD14+ Monocytes,-0.5113340583302137,-0.531230667431184,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,CD63,7,5.928230285644531,by_cell_type,CD4 T cells,-0.4448831745930266,-0.4374757872326125,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,CD63,7,5.928230285644531,by_cell_type,CD8 T cells,-0.938617033770824,-0.8158637370811732,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,CD63,7,5.928230285644531,by_cell_type,Dendritic cells,-0.4834575885143127,-0.4028890990638372,6,0,6,0,1.0,0.03125,down_in_stim,moderate,0.04843173431734318
Pattern1,CD63,7,5.928230285644531,by_cell_type,FCGR3A+ Monocytes,-0.2671795589621538,-0.14363866640138045,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,moderate,0.08003048780487805
Pattern1,CD63,7,5.928230285644531,by_cell_type,Megakaryocytes,-0.22270491234475198,-0.22270491234475198,1,0,1,0,1.0,,down_in_stim,suggestive,
Pattern1,CD63,7,5.928230285644531,by_cell_type,NK cells,-0.8810881264143828,-0.957409405250023,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,B cells,-1.1472860453082816,-1.1139802939629435,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,CD14+ Monocytes,-1.3743945929288854,-1.3980464138711213,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,CD4 T cells,-0.9105630987578597,-0.8050774813771584,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,CD8 T cells,-0.971845931956047,-0.8922423228228809,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,Dendritic cells,-0.904039595949854,-0.9104709830676034,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,FCGR3A+ Monocytes,-1.1068140589826976,-1.0537590634878873,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,Megakaryocytes,-0.22270491234475198,-0.22270491234475198,1,0,1,0,1.0,,down_in_stim,suggestive,
Pattern1,GAPDH,8,5.831065654754639,by_cell_type,NK cells,-1.0705271442142008,-1.0782526392490075,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,ACTB,9,5.680990695953369,by_cell_type,B cells,-0.7411058585931118,-0.8163699895181855,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,ACTB,9,5.680990695953369,by_cell_type,CD14+ Monocytes,-1.5466987605632654,-1.5255323381283494,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,ACTB,9,5.680990695953369,by_cell_type,CD4 T cells,-0.6073799271502784,-0.592141269920222,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,ACTB,9,5.680990695953369,by_cell_type,CD8 T cells,-0.5180223489678845,-0.4884144173616427,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,ACTB,9,5.680990695953369,by_cell_type,Dendritic cells,-1.0680027255884637,-1.058679915592819,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,ACTB,9,5.680990695953369,by_cell_type,FCGR3A+ Monocytes,-1.2759696853826972,-1.2630831989260072,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,ACTB,9,5.680990695953369,by_cell_type,Megakaryocytes,0.6391114972590355,0.6391114972590355,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,ACTB,9,5.680990695953369,by_cell_type,NK cells,-0.40242536629756875,-0.3476425544438113,8,1,7,0,0.875,0.0546875,down_in_stim,moderate,0.08003048780487805
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,B cells,1.035822503789366,-0.15528808290884388,8,3,4,1,0.5,0.578125,up_in_stim,weak_or_mixed,0.63232421875
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,CD14+ Monocytes,-0.07827482278777165,-0.05765215625862563,8,1,7,0,0.875,0.109375,down_in_stim,weak_or_mixed,0.13671875
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,CD4 T cells,-0.03787011051076805,-0.17942935778226055,8,3,5,0,0.625,0.7421875,down_in_stim,weak_or_mixed,0.7911643401015228
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,CD8 T cells,-0.5101658570163969,-0.4671290747321102,5,1,4,0,0.8,0.3125,down_in_stim,strong,0.35377358490566035
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,Dendritic cells,0.06138166406959981,0.027166593473586076,6,3,3,0,0.5,1.0,up_in_stim,weak_or_mixed,1.0
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,FCGR3A+ Monocytes,0.40609848799352416,0.4202828674649437,6,6,0,0,1.0,0.03125,up_in_stim,moderate,0.04843173431734318
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,Megakaryocytes,3.8993926242885006,3.8993926242885006,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,TYROBP,10,5.573038101196289,by_cell_type,NK cells,-0.29077549870512165,-0.2421751231788658,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.04843173431734318
Pattern1,S100A6,11,5.461409091949463,by_cell_type,B cells,-0.498707729047867,-0.5015998497575236,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,S100A6,11,5.461409091949463,by_cell_type,CD14+ Monocytes,-1.0745877843519696,-1.0987448977846306,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,S100A6,11,5.461409091949463,by_cell_type,CD4 T cells,-0.6352676504036048,-0.7264164934476254,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,S100A6,11,5.461409091949463,by_cell_type,CD8 T cells,-0.8811412907832296,-0.8530449720740716,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,S100A6,11,5.461409091949463,by_cell_type,Dendritic cells,-0.47391449486795373,-0.4458315106432016,6,0,6,0,1.0,0.03125,down_in_stim,moderate,0.04843173431734318
Pattern1,S100A6,11,5.461409091949463,by_cell_type,FCGR3A+ Monocytes,-0.7432066320601193,-0.7814779273839143,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,S100A6,11,5.461409091949463,by_cell_type,Megakaryocytes,3.8993926242885006,3.8993926242885006,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,S100A6,11,5.461409091949463,by_cell_type,NK cells,-1.1491767631602285,-1.2543116621824142,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,B cells,1.705454072828551,0.5607529760619969,8,7,1,0,0.875,0.078125,up_in_stim,strong,0.09853603603603604
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,CD14+ Monocytes,-0.29550558352771383,-0.3239693445674092,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,CD4 T cells,0.135874569202024,-0.017200133800864492,8,4,4,0,0.5,0.84375,up_in_stim,weak_or_mixed,0.8771658415841584
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,CD8 T cells,-0.08530600269303204,-0.14553801984538683,5,2,3,0,0.6,1.0,down_in_stim,weak_or_mixed,1.0
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,Dendritic cells,-0.39826729007051426,-0.31394663522244404,6,1,5,0,0.8333333333333334,0.15625,down_in_stim,moderate,0.18857758620689655
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,FCGR3A+ Monocytes,-0.2834666488849538,-0.32011402606948547,6,0,6,0,1.0,0.03125,down_in_stim,moderate,0.04843173431734318
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,Megakaryocytes,-1.7441400692576092,-1.7441400692576092,1,0,1,0,1.0,,down_in_stim,strong,
Pattern1,FCER1G,12,5.3612589836120605,by_cell_type,NK cells,-0.252158869518194,-0.2928147581024234,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.04843173431734318
Pattern1,PFN1,13,5.28338623046875,by_cell_type,B cells,-0.9187309023057533,-0.8901162834168312,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,PFN1,13,5.28338623046875,by_cell_type,CD14+ Monocytes,-1.5777032034883467,-1.5870797107727288,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,PFN1,13,5.28338623046875,by_cell_type,CD4 T cells,-0.4684921392017871,-0.5132717421465944,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,PFN1,13,5.28338623046875,by_cell_type,CD8 T cells,-0.7703482087900898,-0.7632291298437508,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,PFN1,13,5.28338623046875,by_cell_type,Dendritic cells,-1.1298928693628627,-1.1188838641555643,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,PFN1,13,5.28338623046875,by_cell_type,FCGR3A+ Monocytes,-1.3146745944740001,-1.268135348945326,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,PFN1,13,5.28338623046875,by_cell_type,Megakaryocytes,4.850223776745797,4.850223776745797,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,PFN1,13,5.28338623046875,by_cell_type,NK cells,-0.8729971762939712,-0.8879509260263161,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,B cells,0.46268803311883633,0.39743546366886573,8,6,2,0,0.75,0.3828125,up_in_stim,moderate,0.43104892761394104
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,CD14+ Monocytes,-0.06580203649434568,-0.08113175949428708,8,2,6,0,0.75,0.1953125,down_in_stim,weak_or_mixed,0.23107394366197184
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,CD4 T cells,0.7048855677523339,0.33230392507467066,8,7,1,0,0.875,0.078125,up_in_stim,strong,0.09853603603603604
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,CD8 T cells,2.40194775958457,0.26851322836826075,5,4,1,0,0.8,0.3125,up_in_stim,strong,0.35377358490566035
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,Dendritic cells,-0.026934862143811245,0.03430599205271978,6,3,3,0,0.5,1.0,down_in_stim,weak_or_mixed,1.0
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,FCGR3A+ Monocytes,0.5802905026435458,0.5549763544923847,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.04843173431734318
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,Megakaryocytes,1.7098301665516011,1.7098301665516011,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,C15orf48,14,5.269685745239258,by_cell_type,NK cells,0.17793888183780826,0.06977408593662382,8,5,3,0,0.625,0.4609375,up_in_stim,suggestive,0.5108014511873351
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,B cells,-0.9534948223583855,-1.057800188180706,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.03815406976744186
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,CD14+ Monocytes,-0.4987099284848102,-0.5004948878407767,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,CD4 T cells,-0.9102135505195803,-1.0314585244968395,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,CD8 T cells,-1.0305985605026042,-0.942450720125672,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,Dendritic cells,-0.2966760833528861,-0.29704591949165415,6,0,6,0,1.0,0.03125,down_in_stim,moderate,0.04843173431734318
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,FCGR3A+ Monocytes,-0.8101314431744185,-0.7161255357660847,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,Megakaryocytes,-5.64353269354611,-5.64353269354611,1,0,1,0,1.0,,down_in_stim,strong,
Pattern1,LGALS1,15,5.180225372314453,by_cell_type,NK cells,-0.869215932631773,-0.8817582730045928,8,1,7,0,0.875,0.0234375,down_in_stim,strong,0.04843173431734318
Pattern2,FTH1,1,12.976593971252441,by_cell_type,B cells,-1.3098243441406336,-1.2582921425349785,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTH1,1,12.976593971252441,by_cell_type,CD14+ Monocytes,-1.133141654337639,-1.0824018232817014,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTH1,1,12.976593971252441,by_cell_type,CD4 T cells,-0.845984476155722,-0.8403689297802117,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTH1,1,12.976593971252441,by_cell_type,CD8 T cells,-1.0021307651834175,-0.9182330838954496,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern2,FTH1,1,12.976593971252441,by_cell_type,Dendritic cells,-1.080423242998389,-0.9944972104603984,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern2,FTH1,1,12.976593971252441,by_cell_type,FCGR3A+ Monocytes,-1.0869520560166464,-1.1057151303919106,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern2,FTH1,1,12.976593971252441,by_cell_type,Megakaryocytes,0.468200785918107,0.468200785918107,1,1,0,0,1.0,,up_in_stim,moderate,
Pattern2,FTH1,1,12.976593971252441,by_cell_type,NK cells,-0.6397938651378916,-0.6964991210954503,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTL,2,5.554069519042969,by_cell_type,B cells,-0.925740020974422,-0.8218382879384096,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTL,2,5.554069519042969,by_cell_type,CD14+ Monocytes,-0.604903657267645,-0.5751191166642826,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTL,2,5.554069519042969,by_cell_type,CD4 T cells,-0.671531719426218,-0.6680025334571393,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,FTL,2,5.554069519042969,by_cell_type,CD8 T cells,-0.7888354557232727,-0.7397202165468251,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern2,FTL,2,5.554069519042969,by_cell_type,Dendritic cells,-0.4946768045828482,-0.5708221172266859,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,moderate,0.08003048780487805
Pattern2,FTL,2,5.554069519042969,by_cell_type,FCGR3A+ Monocytes,-0.6844409423777827,-0.6948111792041063,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern2,FTL,2,5.554069519042969,by_cell_type,Megakaryocytes,-0.2730577877128404,-0.2730577877128404,1,0,1,0,1.0,,down_in_stim,moderate,
Pattern2,FTL,2,5.554069519042969,by_cell_type,NK cells,-0.7394631680025365,-0.81937274878912,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.03815406976744186
Pattern2,ACTB,3,5.149622440338135,by_cell_type,B cells,-0.7411058585931118,-0.8163699895181855,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,ACTB,3,5.149622440338135,by_cell_type,CD14+ Monocytes,-1.5466987605632654,-1.5255323381283494,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,ACTB,3,5.149622440338135,by_cell_type,CD4 T cells,-0.6073799271502784,-0.592141269920222,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,ACTB,3,5.149622440338135,by_cell_type,CD8 T cells,-0.5180223489678845,-0.4884144173616427,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern2,ACTB,3,5.149622440338135,by_cell_type,Dendritic cells,-1.0680027255884637,-1.058679915592819,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern2,ACTB,3,5.149622440338135,by_cell_type,FCGR3A+ Monocytes,-1.2759696853826972,-1.2630831989260072,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern2,ACTB,3,5.149622440338135,by_cell_type,Megakaryocytes,0.6391114972590355,0.6391114972590355,1,1,0,0,1.0,,up_in_stim,strong,
Pattern2,ACTB,3,5.149622440338135,by_cell_type,NK cells,-0.40242536629756875,-0.3476425544438113,8,1,7,0,0.875,0.0546875,down_in_stim,moderate,0.08003048780487805
Pattern2,PFN1,4,3.6003952026367188,by_cell_type,B cells,-0.9187309023057533,-0.8901162834168312,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,PFN1,4,3.6003952026367188,by_cell_type,CD14+ Monocytes,-1.5777032034883467,-1.5870797107727288,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern2,PFN1,4,3.6003952026367188,by_cell_type,CD4 T cells,-0.4684921392017871,-0.5132717421465944,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020007621951219513
Pattern2,PFN1,4,3.6003952026367188,by_cell_type,CD8 T cells,-0.7703482087900898,-0.7632291298437508,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern2,PFN1,4,3.6003952026367188,by_cell_type,Dendritic cells,-1.1298928693628627,-1.1188838641555643,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
