"gene","pattern","rank","cogaps_weight","contrast_scope","cell_type","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","Dendritic cells",-2.01414222810391,-1.53142308790825,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","FCGR3A+ Monocytes",0.0364770854466944,-0.0286583194680228,6,3,3,0,0.5,1,"up_in_stim","weak_or_mixed",1
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","NK cells",-0.841767586077516,-1.06611449706802,8,1,7,0,0.875,0.042315274905714,"down_in_stim","strong",0.0618069566536216
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","B cells",1.50335483185028,1.33545241900937,8,7,1,0,0.875,0.0299739735865559,"up_in_stim","strong",0.0536857654094966
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","CD14+ Monocytes",0.65966583403212,0.689261365510262,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.0480746462450683
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","CD4 T cells",0.713358040782369,0.610897929830741,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","CD8 T cells",0.601892456026582,-0.131210301850031,5,2,3,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.824840669565685
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","Dendritic cells",0.327204503227555,0.389045486591476,6,4,2,0,0.666666666666667,0.29450739368011,"up_in_stim","moderate",0.328114844009973
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","FCGR3A+ Monocytes",-0.117929395185229,-0.105650621717838,6,2,4,0,0.666666666666667,0.401678166469773,"down_in_stim","suggestive",0.442203560119542
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","Megakaryocytes",0.0325429874760781,0.0325429874760781,1,1,0,0,1,NA,"up_in_stim","weak_or_mixed",NA
"SOD2","Pattern1",5,4.3295578956604,"by_cell_type","NK cells",0.043313574770103,0.149908925665592,8,5,3,0,0.625,0.833634883024682,"up_in_stim","weak_or_mixed",0.861500115883446
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","B cells",0.1392674733373,0.227627297282035,8,5,3,0,0.625,0.62406453246517,"up_in_stim","suggestive",0.665310176852236
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","CD14+ Monocytes",-0.225501350138434,-0.251877514363826,8,0,8,0,1,0.0142661867014469,"down_in_stim","suggestive",0.0343685406898494
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","CD4 T cells",-0.344240684939276,-0.40792421193415,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0343685406898494
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","CD8 T cells",0.0952462259608882,0.0787219564823207,5,3,2,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.824840669565685
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","Dendritic cells",0.228463258656917,0.274832035580307,6,5,1,0,0.833333333333333,0.0591720678258594,"up_in_stim","suggestive",0.0731761238779795
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","FCGR3A+ Monocytes",0.101568023153893,0.166627318899279,6,4,2,0,0.666666666666667,0.401678166469773,"up_in_stim","suggestive",0.442203560119542
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"S100A11","Pattern1",6,4.11211681365967,"by_cell_type","NK cells",-0.0266411591854718,0.0213294098319183,8,5,3,0,0.625,0.944182513250483,"down_in_stim","weak_or_mixed",0.970337153506729
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","B cells",1.03582250378937,-0.155288082908844,8,3,4,1,0.5,0.554113130069446,"up_in_stim","weak_or_mixed",0.601099331157205
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","CD14+ Monocytes",-0.0782748227877716,-0.0576521562586256,8,1,7,0,0.875,0.107327557761612,"down_in_stim","weak_or_mixed",0.129702032343837
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","CD4 T cells",-0.0378701105107681,-0.179429357782261,8,3,5,0,0.625,0.726286148878805,"down_in_stim","weak_or_mixed",0.769863317811533
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","CD8 T cells",-0.510165857016397,-0.46712907473211,5,1,4,0,0.8,0.280712665268496,"down_in_stim","strong",0.316548324664474
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","Dendritic cells",0.0613816640695998,0.0271665934735861,6,3,3,0,0.5,1,"up_in_stim","weak_or_mixed",1
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","FCGR3A+ Monocytes",0.406098487993524,0.420282867464944,6,6,0,0,1,0.0360316862182336,"up_in_stim","moderate",0.0536857654094966
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
"TYROBP","Pattern1",7,3.90458726882935,"by_cell_type","NK cells",-0.290775498705122,-0.242175123178866,8,1,7,0,0.875,0.0299739735865559,"down_in_stim","moderate",0.0536857654094966
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","B cells",1.70545407282855,0.560752976061997,8,7,1,0,0.875,0.0800579199844347,"up_in_stim","strong",0.0983492990537261
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","CD14+ Monocytes",-0.295505583527714,-0.323969344567409,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0343685406898494
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","CD4 T cells",0.135874569202024,-0.0172001338008645,8,4,4,0,0.5,0.833634883024682,"up_in_stim","weak_or_mixed",0.861500115883446
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","CD8 T cells",-0.085306002693032,-0.145538019845387,5,2,3,0,0.6,1,"down_in_stim","weak_or_mixed",1
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","Dendritic cells",-0.398267290070514,-0.313946635222444,6,1,5,0,0.833333333333333,0.142213241936393,"down_in_stim","moderate",0.168565855458152
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","FCGR3A+ Monocytes",-0.283466648884954,-0.320114026069485,6,0,6,0,1,0.0360316862182336,"down_in_stim","moderate",0.0536857654094966
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","Megakaryocytes",-1.74414006925761,-1.74414006925761,1,0,1,0,1,NA,"down_in_stim","strong",NA
"FCER1G","Pattern1",8,3.77762842178345,"by_cell_type","NK cells",-0.252158869518194,-0.292814758102423,8,1,7,0,0.875,0.0299739735865559,"down_in_stim","moderate",0.0536857654094966
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","B cells",-0.741105858593112,-0.816369989518186,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","CD14+ Monocytes",-1.54669876056327,-1.52553233812835,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","CD4 T cells",-0.607379927150278,-0.592141269920222,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","CD8 T cells",-0.518022348967884,-0.488414417361643,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","Dendritic cells",-1.06800272558846,-1.05867991559282,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","FCGR3A+ Monocytes",-1.2759696853827,-1.26308319892601,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","Megakaryocytes",0.639111497259035,0.639111497259035,1,1,0,0,1,NA,"up_in_stim","strong",NA
"ACTB","Pattern1",9,3.55272316932678,"by_cell_type","NK cells",-0.402425366297569,-0.347642554443811,8,1,7,0,0.875,0.058707408431205,"down_in_stim","moderate",0.0731761238779795
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","B cells",1.72447972664266,1.74648284671337,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","CD14+ Monocytes",1.31672293405697,1.35216108132841,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","CD4 T cells",2.21162071099681,2.30076258893308,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","CD8 T cells",2.1715948336069,1.90803985007239,5,5,0,0,1,0.0590582290905367,"up_in_stim","strong",0.0731761238779795
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","Dendritic cells",0.910808615474915,0.998499993247605,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0536857654094966
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","FCGR3A+ Monocytes",0.804704623727197,0.829216538606092,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0536857654094966
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","Megakaryocytes",3.0164072968235,3.0164072968235,1,1,0,0,1,NA,"up_in_stim","strong",NA
"SAT1","Pattern1",10,3.52467846870422,"by_cell_type","NK cells",2.66391908352822,2.68005541267185,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","B cells",-0.925740020974422,-0.82183828793841,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","CD14+ Monocytes",-0.604903657267645,-0.575119116664283,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","CD4 T cells",-0.671531719426218,-0.668002533457139,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","CD8 T cells",-0.788835455723273,-0.739720216546825,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","Dendritic cells",-0.494676804582848,-0.570822117226686,6,1,5,0,0.833333333333333,0.0591720678258594,"down_in_stim","moderate",0.0731761238779795
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","FCGR3A+ Monocytes",-0.684440942377783,-0.694811179204106,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","Megakaryocytes",-0.27305778771284,-0.27305778771284,1,0,1,0,1,NA,"down_in_stim","moderate",NA
"FTL","Pattern1",11,3.47570705413818,"by_cell_type","NK cells",-0.739463168002537,-0.81937274878912,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.0480746462450683
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","B cells",-2.58856676213431,-1.84395195945292,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","CD14+ Monocytes",-0.995880978964872,-0.959234239981714,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","CD4 T cells",-0.0270156123654767,0.115998614912314,8,5,3,0,0.625,0.62406453246517,"down_in_stim","weak_or_mixed",0.665310176852236
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","CD8 T cells",1.65168121100741,0.0675331502216245,5,3,0,2,0.6,0.18144920772142,"up_in_stim","weak_or_mixed",0.211343974044683
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","Dendritic cells",-2.41784862282396,-2.0377035616991,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","FCGR3A+ Monocytes",-0.186147745187292,-0.204262396369684,6,1,5,0,0.833333333333333,0.29450739368011,"down_in_stim","suggestive",0.328114844009973
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
"CXCL16","Pattern1",12,3.15081763267517,"by_cell_type","NK cells",-2.08902216803893,-1.72170908561148,8,2,6,0,0.75,0.23395283347059,"down_in_stim","strong",0.267066157592581
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","B cells",-1.00899561010521,-1.00562778648172,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","CD14+ Monocytes",-0.825760699318507,-0.819926713606376,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","CD4 T cells",-0.82426431173182,-0.841264116951391,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","CD8 T cells",-0.761808525487596,-0.96203370320713,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","Dendritic cells",-0.798669985087418,-0.70503550429045,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","FCGR3A+ Monocytes",-0.153910059901033,-0.108933512132568,6,1,5,0,0.833333333333333,0.0591720678258594,"down_in_stim","suggestive",0.0731761238779795
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","Megakaryocytes",0.345488401247244,0.345488401247244,1,1,0,0,1,NA,"up_in_stim","moderate",NA
"PSAP","Pattern1",13,2.9972722530365,"by_cell_type","NK cells",-0.974126456334656,-0.77274678357041,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","B cells",0.310663542088007,0.484449098582767,8,7,1,0,0.875,0.183430618982178,"up_in_stim","moderate",0.211343974044683
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","CD14+ Monocytes",0.730368391946024,0.832168330113814,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","CD4 T cells",1.2561097359225,1.18420053261528,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","CD8 T cells",0.860651362961442,0.813219948369102,5,4,1,0,0.8,0.105645429201877,"up_in_stim","strong",0.128086451744759
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","Dendritic cells",0.913520073121079,0.930372509237698,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0536857654094966
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","FCGR3A+ Monocytes",0.139473077811322,0.112055064810821,6,6,0,0,1,0.0360316862182336,"up_in_stim","suggestive",0.0536857654094966
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"CTSS","Pattern1",14,2.86766362190247,"by_cell_type","NK cells",1.20046606434594,1.1307964943404,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.0480746462450683
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","B cells",2.84705812444798,1.34098690708629,8,6,2,0,0.75,0.042315274905714,"up_in_stim","strong",0.0618069566536216
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","CD14+ Monocytes",0.629240421782826,0.546688943004835,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","CD4 T cells",0.786811394129934,0.724619237414967,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","CD8 T cells",0.132555417849498,0.680354799405214,5,3,2,0,0.6,1,"up_in_stim","weak_or_mixed",1
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","Dendritic cells",0.449230129887331,0.40218093418592,6,6,0,0,1,0.0360316862182336,"up_in_stim","moderate",0.0536857654094966
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","FCGR3A+ Monocytes",0.365927846212189,0.415306712714396,6,5,1,0,0.833333333333333,0.0591720678258594,"up_in_stim","moderate",0.0731761238779795
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","Megakaryocytes",-0.215773540406857,-0.215773540406857,1,0,1,0,1,NA,"down_in_stim","suggestive",NA
"CST3","Pattern1",15,2.68107986450195,"by_cell_type","NK cells",0.706265470336335,-0.0709566354028062,8,4,4,0,0.5,0.833634883024682,"up_in_stim","weak_or_mixed",0.861500115883446
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","B cells",-1.30982434414063,-1.25829214253498,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","CD14+ Monocytes",-1.13314165433764,-1.0824018232817,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","CD4 T cells",-0.845984476155722,-0.840368929780212,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","CD8 T cells",-1.00213076518342,-0.91823308389545,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","Dendritic cells",-1.08042324299839,-0.994497210460398,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","FCGR3A+ Monocytes",-1.08695205601665,-1.10571513039191,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","Megakaryocytes",0.468200785918107,0.468200785918107,1,1,0,0,1,NA,"up_in_stim","moderate",NA
"FTH1","Pattern2",1,10.1341285705566,"by_cell_type","NK cells",-0.639793865137892,-0.69649912109545,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","B cells",-0.925740020974422,-0.82183828793841,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","CD14+ Monocytes",-0.604903657267645,-0.575119116664283,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","CD4 T cells",-0.671531719426218,-0.668002533457139,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","CD8 T cells",-0.788835455723273,-0.739720216546825,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","Dendritic cells",-0.494676804582848,-0.570822117226686,6,1,5,0,0.833333333333333,0.0591720678258594,"down_in_stim","moderate",0.0731761238779795
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","FCGR3A+ Monocytes",-0.684440942377783,-0.694811179204106,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","Megakaryocytes",-0.27305778771284,-0.27305778771284,1,0,1,0,1,NA,"down_in_stim","moderate",NA
"FTL","Pattern2",2,9.51754760742188,"by_cell_type","NK cells",-0.739463168002537,-0.81937274878912,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.0480746462450683
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","B cells",0.129409399170069,-0.390025014726914,8,2,6,0,0.75,0.293621543928906,"up_in_stim","suggestive",0.328114844009973
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","CD14+ Monocytes",-1.16789012499641,-1.16765835752286,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","CD4 T cells",-0.614404773046251,-0.675137818923696,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.0480746462450683
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","CD8 T cells",-0.90034651927819,-0.913309759580059,5,2,3,0,0.6,0.280712665268496,"down_in_stim","weak_or_mixed",0.316548324664474
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","Dendritic cells",-0.897565750583269,-0.875079305938102,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","FCGR3A+ Monocytes",-1.13943381105872,-1.07228236451988,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","Megakaryocytes",-0.793308916800313,-0.793308916800313,1,0,1,0,1,NA,"down_in_stim","strong",NA
"TIMP1","Pattern2",3,7.6887149810791,"by_cell_type","NK cells",-1.51468809220097,-1.4046196885061,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
