"pattern","cell_type","condition","mean_activity","median_activity","n_cells"
"Pattern4","CD14+ Monocytes","stim",0.173966430981206,0.159477800130844,2765
"Pattern4","B cells","stim",0.403777163892929,0.409384369850159,1335
"Pattern4","NK cells","stim",0.40181865050745,0.416527628898621,861
"Pattern4","CD8 T cells","stim",0.319307995841325,0.297262713313103,810
"Pattern4","FCGR3A+ Monocytes","stim",0.406078388933826,0.426174163818359,569
"Pattern4","Dendritic cells","stim",0.391240594632149,0.402176976203918,271
"Pattern4","Megakaryocytes","stim",0.0502049699066315,0.000582773645874113,69
"Pattern5","CD4 T cells","ctrl",0.000407650184088622,3.90035474993056e-05,5560
"Pattern5","CD14+ Monocytes","ctrl",0.00808080767063887,2.98926661344012e-05,2932
"Pattern5","B cells","ctrl",9.75973164432368e-05,2.59540865954477e-06,1316
"Pattern5","NK cells","ctrl",0.000608395666755016,6.4211075368803e-05,855
"Pattern5","CD8 T cells","ctrl",0.000410788638482958,5.4577332775807e-05,811
"Pattern5","FCGR3A+ Monocytes","ctrl",0.00598329469569048,0,520
"Pattern5","Dendritic cells","ctrl",0.00358995291565692,1.07951118479832e-05,258
"Pattern5","Megakaryocytes","ctrl",9.61113567875203e-05,3.48607281921431e-05,63
"Pattern5","CD4 T cells","stim",0.00440620838904787,7.7529617556138e-05,5678
"Pattern5","CD14+ Monocytes","stim",0.483206530390046,0.495233714580536,2765
"Pattern5","B cells","stim",0.00577808954238812,4.87962133775e-05,1335
"Pattern5","NK cells","stim",0.00593215141218386,0.000167017758940347,861
"Pattern5","CD8 T cells","stim",0.0025368450805073,3.71989299310371e-05,810
"Pattern5","FCGR3A+ Monocytes","stim",0.301973288276953,0.263644605875015,569
"Pattern5","Dendritic cells","stim",0.272460334423917,0.288656294345856,271
"Pattern5","Megakaryocytes","stim",0.00762107229704692,0.000353430601535365,69
"Pattern6","CD4 T cells","ctrl",0.288326908193064,0.270427793264389,5560
"Pattern6","CD14+ Monocytes","ctrl",0.0708900232804554,0.0326777994632721,2932
"Pattern6","B cells","ctrl",0.177007317592781,0.168708860874176,1316
"Pattern6","NK cells","ctrl",0.212765057214021,0.193842649459839,855
"Pattern6","CD8 T cells","ctrl",0.235941832674251,0.221139684319496,811
"Pattern6","FCGR3A+ Monocytes","ctrl",0.106121662987601,0.0824949964880943,520
"Pattern6","Dendritic cells","ctrl",0.160990567013355,0.126922927796841,258
"Pattern6","Megakaryocytes","ctrl",0.0944512990559267,0.0675715208053589,63
"Pattern6","CD4 T cells","stim",0.210455694752899,0.187937654554844,5678
"Pattern6","CD14+ Monocytes","stim",0.0553036276314326,0.00534678949043155,2765
"Pattern6","B cells","stim",0.0931139498828432,0.0808149799704552,1335
"Pattern6","NK cells","stim",0.144310703932899,0.122505106031895,861
"Pattern6","CD8 T cells","stim",0.168402562420492,0.150071054697037,810
"Pattern6","FCGR3A+ Monocytes","stim",0.0442480341345931,0.000775512948166579,569
"Pattern6","Dendritic cells","stim",0.113775443852086,0.0910607352852821,271
"Pattern6","Megakaryocytes","stim",0.0862708239146741,0.0654076710343361,69
